mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.244891357421875,0.16167413472091002,0.03275284767150879,0.005771167135860822,0.8363571772752967,0.3387821809211412,0.01058040360169664,5,3,247,0.08620220426018041,0.22321987366901574,0.8763750952409863,"{'colsample_bytree': 0.8363571772752967, 'gamma': 0.3387821809211412, 'learning_rate': 0.01058040360169664, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 247, 'reg_alpha': 0.08620220426018041, 'reg_lambda': 0.22321987366901574, 'subsample': 0.8763750952409863}",0.8440191136315899,0.8315500137333787,0.8464285137253,0.86179576042525,0.8571841648704064,0.848195513277185,0.010615082066868028,1
0.4047815799713135,0.03272072618672278,0.017748689651489256,0.002910891906476249,0.8245108790277985,0.3854835899772805,0.05362853964441846,3,3,162,0.4867329944599204,0.8927717642767777,0.8253102287905535,"{'colsample_bytree': 0.8245108790277985, 'gamma': 0.3854835899772805, 'learning_rate': 0.05362853964441846, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 162, 'reg_alpha': 0.4867329944599204, 'reg_lambda': 0.8927717642767777, 'subsample': 0.8253102287905535}",0.8440837412954615,0.828663984618616,0.8453803338018838,0.8628560580356421,0.858850339503302,0.8479668914509813,0.012120297610824064,2
0.6210312366485595,0.04484507231971967,0.020400285720825195,0.0013132203031720252,0.908897907718663,0.0993578407670862,0.010189592979395137,5,3,180,0.13615257464006505,3.804968634158325,0.8423839899124046,"{'colsample_bytree': 0.908897907718663, 'gamma': 0.0993578407670862, 'learning_rate': 0.010189592979395137, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 180, 'reg_alpha': 0.13615257464006505, 'reg_lambda': 3.804968634158325, 'subsample': 0.8423839899124046}",0.8433788958363628,0.8311683065936374,0.8446350960528655,0.859521674502771,0.8578089803577423,0.8473025906686757,0.010416489478895508,3
1.249538278579712,0.12891643279107726,0.0394686222076416,0.007273694737393479,0.7546941385202149,0.46836499436836726,0.015963757045104086,6,9,250,0.042105993732656534,2.463592076865263,0.6914200087189198,"{'colsample_bytree': 0.7546941385202149, 'gamma': 0.46836499436836726, 'learning_rate': 0.015963757045104086, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 250, 'reg_alpha': 0.042105993732656534, 'reg_lambda': 2.463592076865263, 'subsample': 0.6914200087189198}",0.8426861680642399,0.8327294685990336,0.845378314187388,0.8566215080865364,0.8583144945060723,0.847145990688654,0.009437920477437129,4
0.9822203159332276,0.10225276721032624,0.031609630584716795,0.0033828165076561106,0.7425191352307899,0.453414220772877,0.025233199982877236,5,9,215,0.011421064100297751,0.40697011258957766,0.6658623412571767,"{'colsample_bytree': 0.7425191352307899, 'gamma': 0.453414220772877, 'learning_rate': 0.025233199982877236, 'max_depth': 5, 'min_child_weight': 9, 'n_estimators': 215, 'reg_alpha': 0.011421064100297751, 'reg_lambda': 0.40697011258957766, 'subsample': 0.6658623412571767}",0.8420540287269965,0.8318287205338245,0.846190199214774,0.858703730631897,0.8564946435720843,0.8470542645359153,0.009822392517625842,5
1.041590118408203,0.11248680305891108,0.03228139877319336,0.004558688193467954,0.8532405829093072,0.16951489552435034,0.03279630261284468,5,4,251,0.01635024939133327,5.96403519324522,0.9403713795070051,"{'colsample_bytree': 0.8532405829093072, 'gamma': 0.16951489552435034, 'learning_rate': 0.03279630261284468, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 251, 'reg_alpha': 0.01635024939133327, 'reg_lambda': 5.96403519324522, 'subsample': 0.9403713795070051}",0.843901975990823,0.8326406055612104,0.8428780314413585,0.8578191394826555,0.8555948283880569,0.8465669161728208,0.009195299150838873,6
1.4918084621429444,0.12034437408352246,0.03920450210571289,0.0030167442891326423,0.8430179407605753,0.08526206184364576,0.012476394272569451,6,9,415,0.04896262051737683,0.589974179671049,0.6063865008880857,"{'colsample_bytree': 0.8430179407605753, 'gamma': 0.08526206184364576, 'learning_rate': 0.012476394272569451, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 415, 'reg_alpha': 0.04896262051737683, 'reg_lambda': 0.589974179671049, 'subsample': 0.6063865008880857}",0.8425064223740973,0.8299827928844943,0.843609131888905,0.8552400917712827,0.8560497911215539,0.8454776460080666,0.009586298428465614,7
0.3280155658721924,0.027318459457596096,0.019200944900512697,0.0012300690229206483,0.7996773519539009,0.28600209960459155,0.1365360925717325,3,5,105,0.012896625857891442,0.10737748632897971,0.9713274250350902,"{'colsample_bytree': 0.7996773519539009, 'gamma': 0.28600209960459155, 'learning_rate': 0.1365360925717325, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 105, 'reg_alpha': 0.012896625857891442, 'reg_lambda': 0.10737748632897971, 'subsample': 0.9713274250350902}",0.8422256959591553,0.8269796261289644,0.8390730777309228,0.8604143441099962,0.855166152390273,0.8447717792638624,0.011901691309963025,8
1.3591506481170654,0.04616518098433585,0.039191913604736325,0.004121727397508249,0.7957811041110252,0.49282522705530035,0.022779541913782567,6,7,302,0.012851782533197043,0.3050140722244877,0.9212559025519583,"{'colsample_bytree': 0.7957811041110252, 'gamma': 0.49282522705530035, 'learning_rate': 0.022779541913782567, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 302, 'reg_alpha': 0.012851782533197043, 'reg_lambda': 0.3050140722244877, 'subsample': 0.9212559025519583}",0.8392104115166498,0.8300716559223176,0.8431486597838205,0.8532689480232014,0.852681044837083,0.8436761440166144,0.008699577348126951,9
0.9422426700592041,0.07725346032499712,0.025458097457885742,0.0030434862296914466,0.9314950036607718,0.17837666334679464,0.026000059117302653,6,9,256,0.2550298070162892,0.14096175149815865,0.9947547746402069,"{'colsample_bytree': 0.9314950036607718, 'gamma': 0.17837666334679464, 'learning_rate': 0.026000059117302653, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 256, 'reg_alpha': 0.2550298070162892, 'reg_lambda': 0.14096175149815865, 'subsample': 0.9947547746402069}",0.8406928085567028,0.8281409044641559,0.8419449695442134,0.8528165543761007,0.8514920755602108,0.8430174625002766,0.008896150900324197,10
